"Name"                                                                                              , "State"   , "Tags"  , "Created"                 , "add_gaussian_noise", "batch_size", "corrector_name"        , "dataset"      , "do_sample", "max_samples", "model_name"                   , "noise_lambda", "num_steps", "sequence_beam_width", "max_seq_length", "top_p", "ada_emb_cos_sim_mean", "ada_emb_cos_sim_sem"  , "bleu", "bleu_score"        , "bleu_score_sem"     , "emb_cos_sim", "emb_cos_sim_sem", "exact", "exact_match", "exact_match_sem"     , "f1", "n_ngrams_match_1", "n_ngrams_match_2", "n_ngrams_match_3", "num_pred_words", "num_true_words", "rouge_score"        , "token_set_f1"       , "token_set_f1_sem"    , "token_set_precision", "token_set_recall"
"model-Xenova/text-embedding-ada-002_corrector-text-embedding-ada-002_steps-50_beam-8_nucleus-False", "finished", "table2", "2024-12-06T16:29:45.000Z", "false"             , "4"         , "text-embedding-ada-002", "bioasq"       , "false"    , "50"         , "Xenova/text-embedding-ada-002", "0.1"         , "50"       , "8"                  , "128"           , ""     , "0.9506995677947998"  , "0.002758380491286516" , ""    , "8.67350317496547"  , "0.8552081597959372" , ""           , ""               , ""     , "0"          , "0"                   , ""  , "35.5"            , "10.64"           , "4.58"            , "76.56"         , "86.16"         , "0.424343958307531"  , "0.4219839605831135" , "0.01277159200745597" , "0.37898822502732576", "0.4871372505602477"
"model-Xenova/text-embedding-ada-002_corrector-text-embedding-ada-002_steps-0_beam-0_nucleus-False" , "finished", "table2", "2024-12-07T13:25:57.000Z", "false"             , "128"       , "text-embedding-ada-002", "bioasq"       , "false"    , "100"        , "Xenova/text-embedding-ada-002", "0.1"         , "0"        , "0"                  , "128"           , ""     , "0.8916000127792358"  , "0.003117928747087717" , ""    , "3.5473123813223815", "0.25192993255465745", ""           , ""               , ""     , "0"          , "0"                   , ""  , "24.96"           , "4.73"            , "1.25"            , "75.78"         , "86.04"         , "0.28938984999672657", "0.3059111290217285" , "0.007514158414358714", "0.24496977774928388", "0.4268169998234046"
"model-Xenova/text-embedding-ada-002_corrector-text-embedding-ada-002_steps-50_beam-8_nucleus-False", "finished", "table2", "2024-12-07T17:03:10.000Z", "false"             , "4"         , "text-embedding-ada-002", "climate-fever", "false"    , "50"         , "Xenova/text-embedding-ada-002", "0.1"         , "50"       , "8"                  , "128"           , ""     , "0.9870014786720276"  , "0.0022755905520170927", ""    , "54.85004326373144" , "4.6889192038780525" , ""           , ""               , ""     , "0.08"       , "0.03875617133214439" , ""  , "35.9"            , "23.22"           , "16.96"           , "48.92"         , "53.78"         , "0.8047649862801973" , "0.807750324068374"  , "0.02883669605430467" , "0.780036301098654"  , "0.8569174245939187"
"model-Xenova/text-embedding-ada-002_corrector-text-embedding-ada-002_steps-50_beam-8_nucleus-False", "finished", "table2", "2024-12-07T18:42:07.000Z", "false"             , "4"         , "text-embedding-ada-002", "msmarco"      , "false"    , "50"         , "Xenova/text-embedding-ada-002", "0.1"         , "50"       , "8"                  , "128"           , ""     , "0.9931626915931702"  , "0.0016911058919504285", ""    , "58.093897596275845", "3.529200268936263"  , ""           , ""               , ""     , "0.1"        , "0.04285714285714286" , ""  , "49.34"           , "36.32"           , "29.24"           , "63.2"          , "59.54"         , "0.8516662228805812" , "0.8492592781871963" , "0.018114305658080587", "0.8419590868987044" , "0.8629051779415872"
"model-Xenova/text-embedding-ada-002_corrector-text-embedding-ada-002_steps-0_beam-0_nucleus-False" , "finished", "table2", "2024-12-07T17:03:58.000Z", "false"             , "128"       , "text-embedding-ada-002", "msmarco"      , "false"    , "100"        , "Xenova/text-embedding-ada-002", "0.1"         , "0"        , "0"                  , "128"           , ""     , "0.9494966268539428"  , "0.002929880516603589" , ""    , "17.2732641542323"  , "1.5036911740902383" , ""           , ""               , ""     , "0"          , "0"                   , ""  , "31.83"           , "13.92"           , "7.43"            , "60.45"         , "58.69"         , "0.5258179342580733" , "0.5501824921023943" , "0.013185586524365233", "0.5142038383260793" , "0.6105702803364687"
"model-Xenova/text-embedding-ada-002_corrector-text-embedding-ada-002_steps-50_beam-8_nucleus-False", "finished", "table2", "2024-12-07T20:38:59.000Z", "false"             , "4"         , "text-embedding-ada-002", "nfcorpus"     , "false"    , "50"         , "Xenova/text-embedding-ada-002", "0.1"         , "50"       , "8"                  , "128"           , ""     , "0.9620013236999512"  , "0.0024541926104575396", ""    , "11.37741868320288" , "1.3585355817050693" , ""           , ""               , ""     , "0"          , "0"                   , ""  , "41.02"           , "13.44"           , "6.4"             , "82.82"         , "89.54"         , "0.4838618029587487" , "0.4614364373717948" , "0.014838941576579216", "0.41960585605354095", "0.5167236811992146"
"model-Xenova/text-embedding-ada-002_corrector-text-embedding-ada-002_steps-50_beam-8_nucleus-False", "finished", "table2", "2024-12-05T21:30:56.000Z", "false"             , "4"         , "text-embedding-ada-002", "nq"           , "false"    , "100"        , "Xenova/text-embedding-ada-002", "0.1"         , "50"       , "8"                  , "128"           , ""     , "0.966115176677704"   , "0.0023436937481164932", ""    , "14.7846712744392"  , "0.8564342129190964" , ""           , ""               , ""     , "0"          , "0"                   , ""  , "53.96"           , "21.44"           , "10.22"           , "93.53"         , "101.12"        , "0.556424964224956"  , "0.5303917359331762" , "0.010606571459148808", "0.4782826389163426" , "0.6030784448782454"
"model-Xenova/text-embedding-ada-002_corrector-text-embedding-ada-002_steps-0_beam-0_nucleus-False" , "finished", "table2", "2024-12-07T20:39:50.000Z", "false"             , "128"       , "text-embedding-ada-002", "nq"           , "false"    , "100"        , "Xenova/text-embedding-ada-002", "0.1"         , "0"        , "0"                  , "128"           , ""     , "0.9070913791656494"  , "0.003204918699339032" , ""    , "6.196431910335752" , "0.3670559007853717" , ""           , ""               , ""     , "0"          , "0"                   , ""  , "39.46"           , "10.42"           , "3.44"            , "95.36"         , "101.12"        , "0.3833276236373007" , "0.36468857821009737", "0.007805654859365262", "0.2965224719052209" , "0.4849162652260539"
"model-Xenova/text-embedding-ada-002_corrector-text-embedding-ada-002_steps-50_beam-8_nucleus-False", "finished", "table2", "2024-12-08T09:41:08.000Z", "false"             , "4"         , "text-embedding-ada-002", "quora"        , "false"    , "50"         , "Xenova/text-embedding-ada-002", "0.1"         , "50"       , "8"                  , "128"           , ""     , "0.9964411854743958"  , "0.0012197227915748954", ""    , "95.69021141262556" , "1.888462597910437"  , ""           , ""               , ""     , "0.76"       , "0.061011875725893214", ""  , "12.66"           , "11.18"           , "9.84"            , "13.06"         , "13.12"         , "0.9903998129530044" , "0.9849337077799056" , "0.006427506939990491", "0.9843593342330184" , "0.9855285650022492"
"model-Xenova/text-embedding-ada-002_corrector-text-embedding-ada-002_steps-0_beam-0_nucleus-False" , "finished", "table2", "2024-12-08T08:39:28.000Z", "false"             , "128"       , "text-embedding-ada-002", "quora"        , "false"    , "100"        , "Xenova/text-embedding-ada-002", "0.1"         , "0"        , "0"                  , "128"           , ""     , "0.957399845123291"   , "0.0036937743425369263", ""    , "40.00464712209553" , "3.104553335230711"  , ""           , ""               , ""     , "0.15"       , "0.03588702812826367" , ""  , "10.01"           , "5.6"             , "3.49"            , "16.21"         , "13.68"         , "0.7400860043473148" , "0.772355502023326"  , "0.01745015792630463" , "0.804879367638837"  , "0.7696444732122703"
